	MM909_01_1	MM909_02_1	MM909_03_1	MM909_06_1	MM909_11_1	MM909_14_1	MM909_15_2	MM909_16_1	MM909_17_1	MM909_22_2	MM909_25_1	MM909_26_1	MM909_27_1	MM909_29_1	MM909_31_1	MM909_34_2	MM909_35_2	MM909_36_1	MM909_37_1	MM909_40_1	MM909_42_1	MM909_43_1	MM909_45_1	MM909_46_1	MM909_47_1
AAGAB	3.9571	4.66695	4.31852	4.43055	4.35475	3.75709	4.35861	4.73964	4.05769	3.92566	3.96983	4.3056	3.32592	4.16537	3.92892	4.69588	4.61091	4.54637	4.90245	3.83721	4.19398	3.17373	3.73349	4.03026	4.13909
AAK1	1.97267	1.9944	1.88498	0.48329	1.8422	1.71365	1.072	1.72521	1.12526	2.21444	1.3124	2.08604	2.05261	2.14088	2.2662	0.61645	2.02424	1.1317	1.67472	1.33718	2.06348	2.09277	2.64115	2.48362	0.89219
AAMDC	4.41792	5.07948	6.37062	5.46737	4.42039	4.87934	5.1153	5.12975	4.92927	5.22174	4.77829	4.49922	3.73731	3.22329	4.7663	5.41996	4.67442	5.69788	4.37814	5.41054	4.91463	3.14069	4.76446	4.21645	5.1429
AAMP	5.65143	5.16572	5.87726	5.01335	5.1799	5.41647	5.33654	5.34804	5.55093	5.54347	5.83119	6.02601	6.37736	5.20967	5.72427	5.12282	5.34107	5.57896	5.70403	6.1173	5.48658	6.44749	5.59166	6.19647	5.49763
AANAT	0	0	0.41078	0	0	0.24816	0.04623	0	0	0	0	0.12097	0	0.07751	0.07943	0.36927	0	0	0.0554	0.08055	0.19954	0.03172	0.14897	0.00795	0.0289
AAR2	3.76132	4.12007	4.09716	4.11611	4.3508	4.10492	3.7646	4.7657	3.32112	4.38914	4.03502	4.391	5.55189	4.18917	5.90936	3.97473	4.09902	4.37772	4.39003	5.05405	4.97342	4.48743	4.33781	4.49903	4.83969
AARD	0	0.23968	0	1.16099	1.92107	0	0.74386	0	1.37454	0.16402	0.53627	0.06411	0.57621	0.39515	1.44187	1.45654	0.21484	0.71302	0.42537	0.29802	0.47142	0.0337	0.11831	0.56215	1.19185
AARS	6.13032	5.50373	4.66312	4.12333	4.65189	5.80553	5.2781	6.82462	5.34663	4.98912	4.82866	6.12916	6.21162	4.80828	5.23877	5.53388	6.5884	4.45223	5.51014	5.48374	5.59992	6.13032	5.06285	5.50669	4.61143
AARS2	2.04528	2.21174	4.50297	3.05487	2.23197	2.79548	2.26393	3.13928	2.42115	1.83704	2.83298	2.71996	2.94328	1.65497	1.84599	2.61128	3.83528	2.69365	3.07516	3.089	2.69705	3.00037	1.94459	3.41672	2.73066
AARSD1	3.71374	3.07896	4.52857	4.89885	3.58619	4.77209	4.81653	4.17598	3.90312	4.08434	4.64944	3.78555	3.83797	3.80185	3.79871	4.37167	3.76804	4.1852	3.81424	4.09244	4.16607	3.25818	4.04885	4.10451	4.31092
AASDH	2.23263	1.85974	2.67774	2.47378	2.12461	1.63971	2.69057	2.42836	2.76799	2.02233	1.80227	2.21486	3.40751	2.51566	2.66366	2.46269	2.39558	2.35318	2.55518	2.43942	2.67148	2.26363	1.96644	2.00367	3.72986
AASDHPPT	4.10626	4.51764	4.56676	4.39277	3.99225	3.46364	4.59504	4.23901	5.64495	3.06155	4.0762	3.70106	4.42512	3.95516	2.81449	2.77906	4.30291	3.72784	3.14441	4.31275	3.82953	4.29036	2.96582	4.15914	4.51705
AASS	1.54929	1.9873	1.72406	1.26775	2.77693	1.34614	1.45693	1.8487	1.4975	0.96037	0.96351	1.38762	2.2417	1.22744	2.61619	2.18812	2.26363	1.78221	1.49222	2.05831	2.68127	2.88274	1.29435	1.56861	1.79111
AATF	4.71492	4.3591	5.55093	3.82838	4.18277	5.12225	4.6195	3.47076	4.10085	4.45979	5.01335	4.85581	4.69365	4.81503	5.23481	4.36965	4.14658	4.02993	4.85581	5.05975	5.22826	4.59069	4.96561	4.98314	3.81733
AATK	0.75476	0.33704	1.26775	0.36149	1.62774	1.4791	0.78781	0.45341	1.06449	0.70676	0.45917	3.45936	1.41754	0.22556	0.96158	1.70698	0.15407	0.15072	0.47433	0.47142	1.2425	0.72043	0.3278	0.75987	0.56804
ABAT	0.9647	0.87787	0.78266	0.42861	0.75297	0.65575	0.66202	1.80473	0.29785	1.19914	0.70344	1.67914	0.76509	1.51431	1.30999	0.26861	0.30382	0.94644	1.12885	0.75932	1.35136	0.22761	2.00548	0.44464	0.61967
ABCA1	2.30898	1.96511	2.73279	2.13691	2.89478	2.47013	1.91619	0.8025	1.83737	4.1691	1.96681	2.49116	2.25595	2.94525	2.95796	0.888	3.46874	2.56923	2.75838	2.82953	2.38988	3.17486	3.13102	3.3204	2.26006
ABCA10	1.09213	1.04372	1.09041	1.23101	1.42806	0.81891	0.88736	0.32302	0.66088	0.92731	0.64073	0.15616	1.00432	0.53533	0.36524	0.28888	0.19656	0.52388	0.2543	0.32447	0.46312	0.31984	0.92565	0.21825	0.15042
ABCA12	0	0.02681	0.11073	0.01248	0	0	0.045	0	0.07568	0	0.02697	0.01436	0.13296	0.00195	2.92633	0	0.29968	0.00257	0.00661	0.25911	0.00839	0.01627	0.00064	0	0.01332
ABCA13	0.05378	0.45492	0.04754	0.0556	0.2543	0.16893	1.56178	1.06645	0.36852	0.04073	0.69533	0.13311	0.24521	0.00576	0.00358	0.20048	0.77275	0.1489	0.06454	0.27756	0.0137	0.04053	0.00327	0.19809	0.01842
ABCA2	2.05479	1.84972	1.83534	1.03548	2.40723	2.3886	2.33504	1.68486	0.71434	2.21309	1.75181	1.98374	3.36597	1.20525	2.14334	2.28527	2.85765	1.57163	3.02089	2.05907	2.61513	2.65798	2.241	1.77968	1.01853
ABCA3	0.90553	2.36205	2.27477	1.08874	1.82896	1.62613	1.91508	1.77388	2.16174	0.98223	0.45511	0.3817	1.50554	1.25797	2.24034	1.45021	2.82527	1.04165	3.37023	1.23663	1.68857	3.88229	1.9679	1.50659	1.71213
ABCA4	0.26183	0.14618	0	0.10907	0.05724	0	0.04479	0.05212	0.10804	0.13505	0.09647	0.27265	0.02829	0.1446	0.05714	0.03646	0.03852	0.03061	0.0916	0	0	0.12722	0.19913	0.0435	0
ABCA5	2.80432	2.91812	3.07896	1.10535	1.66173	2.03552	1.98633	1.86598	0.25812	1.13276	1.77534	1.37942	4.02526	1.31033	2.34072	1.78027	1.28249	0.33165	1.43607	2.23233	2.70739	1.47621	1.12885	0.99313	1.94909
ABCA6	1.71712	5.83219	0.63207	1.48547	1.36476	0.51572	0.36887	0.4545	0.48578	1.94005	1.22113	1.01898	4.00102	2.55756	0.42592	0.65404	0.96221	1.34305	1.35997	2.31303	0.95229	0.94404	2.60654	0.72451	0.36183
ABCA7	3.10888	0.97265	1.29951	1.0805	1.3249	2.43667	1.435	1.73215	1.96475	1.83089	2.35318	1.61513	0.6651	1.83808	1.92064	1.67347	1.92896	1.32745	1.72859	1.59335	1.13376	1.93173	3.01992	1.58299	0.92731
ABCA8	0.80719	5.96742	0.26738	1.36825	1.4539	0.50052	1.50918	0.31816	0.3278	2.224	0.3938	0.19147	0.79465	0.77669	0.5399	0.23392	0.7412	0.76165	1.57531	3.43553	2.65202	4.56033	2.85534	0.61734	0.19236
ABCA9	0.94182	2.62556	0.33638	0.29727	0.96283	0.2569	0.10679	0.14157	0.0882	1.04959	0.60693	0.40016	3.06354	0.57649	0.29225	0.31378	0.30457	0.17079	1.50727	0.94477	2.08435	0.69247	1.34377	0.39395	0.10572
ABCB1	2.27153	1.22612	0.39492	0.46138	1.25328	0.87008	0.60483	0.69088	0.33993	0.95131	0.58756	1.49142	0.48329	2.10649	0.54439	0.63339	0.80149	1.1332	1.65391	0.97834	1.47621	0.34216	2.037	5.23594	1.05356
ABCB10	2.86027	2.95532	2.85028	3.64766	3.48134	2.32875	3.54252	4.29518	3.92075	2.62147	2.3154	2.59479	1.70446	3.36499	2.42672	2.6946	2.17289	2.49528	2.22762	2.27324	2.93122	2.9608	2.46831	2.61843	3.55623
ABCB11	0.12097	0	0	0	0.06798	0	0	0	0	0.0069	0	0	0.02322	0.10426	0.0138	0	0	0.01118	0.01488	0.07683	0.10175	0	0.13779	0.00312	0.03326
ABCB4	0.52044	2.90278	1.11551	1.12421	2.20659	1.69926	0.14164	0.16395	0.07453	0.97667	0.85328	4.17556	0.9953	2.20246	1.4634	2.56586	0.58485	1.4958	0.50246	1.82862	2.79268	0.46264	1.63097	3.72123	0.39417
ABCB5	1.70314	2.78095	2.80502	0.58438	0	3.42982	5.38503	6.02816	0.91336	0.84483	2.57157	6.97128	5.90452	0.01035	3.45098	4.00274	5.09207	0.23518	2.69735	0.6585	7.21357	6.90094	0.6112	4.44327	6.0457
ABCB6	2.66902	2.10722	2.82953	3.07314	2.65137	3.02527	3.60863	2.44005	2.57398	2.46831	2.47285	2.14917	3.14827	1.67304	2.81222	3.13481	3.03442	2.66337	3.09235	2.3902	1.804	3.77015	1.73146	3.01904	3.36637
ABCB7	2.77195	3.14942	3.71182	3.97902	3.11882	3.0672	4.39659	3.56402	4.13555	2.91988	2.96553	2.67358	2.74781	3.599	2.45084	3.81093	2.699	3.71531	3.25783	3.61882	3.55506	3.02896	3.34108	2.57572	2.99131
ABCB8	2.06814	2.20695	1.99885	2.8409	3.21761	2.91392	2.31802	2.60733	1.78027	2.75963	3.1857	3.75797	2.56176	1.69283	2.3263	3.34835	2.82805	2.43451	2.81054	2.85799	2.51767	3.11913	2.29766	3.08394	1.99843
ABCB9	1.1332	0.93636	1.3614	0.53923	1.43575	1.32228	1.81055	3.00198	1.11522	0.83477	1.46825	0.77335	1.11084	1.00099	0.37138	1.46825	1.92221	0.3104	0.79853	1.15762	0.56674	2.15251	0.43798	1.49068	0.6449
ABCC1	3.25409	2.86904	0.63639	1.66499	2.31939	2.804	2.0345	2.62487	1.63894	3.53382	1.9055	3.30417	2.55359	3.11618	2.87207	1.4715	2.49379	2.61382	2.85534	2.65826	2.57872	2.46795	3.69051	2.80722	1.46748
ABCC10	1.78772	1.03007	2.54256	1.87213	1.73707	2.12813	1.92064	2.99581	2.27294	2.05261	1.91464	2.16254	2.08001	1.44338	1.67231	1.54724	1.84727	1.80436	2.12143	1.69103	1.81209	2.57943	1.96891	2.9196	2.27083
ABCC11	0.47632	3.67454	2.61445	0.49265	0.06062	0	0.19365	0.2327	0.14906	0.0378	0.04815	0.16609	1.72789	0.01046	0.18038	0.02913	2.93813	0.02572	1.38291	2.18291	1.35448	0.42336	0.02141	0.22106	4.18723
ABCC12	0	1.10356	0.04716	0.05448	0	0	0	0	0	0.00562	0.01036	0	0	0	0	0.08069	0.26055	0	0	0.01992	0	0	0	0	0.08682
ABCC2	0.20529	1.17206	2.6454	0.29138	0.29743	1.21929	3.22688	3.97687	0.73324	0.15536	1.35889	2.54068	3.21887	0.20066	0.21791	1.00786	0.99095	0.08907	0.17719	0.4469	2.7931	2.07705	0.23021	3.35487	2.61545
ABCC3	1.76969	0.8314	0.97265	1.16876	0.71285	0.3594	0.70532	0.2883	0.40484	2.96881	1.76001	0.65902	0.36389	2.45725	0.81313	1.05082	0.86757	2.86447	1.24637	0.86377	0.51709	0.5187	2.42996	0.90798	0.72451
ABCC4	3.96362	2.52755	0.70963	2.09784	3.01185	0.28299	2.85162	2.80616	3.72916	2.98679	2.2096	3.0562	3.82161	3.18092	3.43255	1.75654	1.88297	1.67989	2.87563	2.17884	1.12034	2.22193	2.41511	1.48547	2.34769
ABCC5	2.3869	3.24001	3.80677	3.50254	2.83613	4.40183	3.38082	3.37194	3.83285	3.71668	3.74653	2.91183	3.83497	2.84608	2.85858	3.95986	4.27784	4.41367	3.4419	3.90857	2.37656	3.77804	2.72298	4.06535	5.86733
ABCC6	0.05324	0.01195	0	0.25615	0.24913	0	0	0	0.57667	0.14595	0.42369	0.0414	0.03652	0.00332	0.14039	0.02179	0.01893	0.22128	0.05331	0.34891	0.08853	0.02405	0.81953	0.12175	0.13145
ABCC8	0.05299	0	0	0.0274	0.05964	0	0	0.61669	0	0	0	0	0	0.03083	0	0.02565	0	0.01025	0	0	0	0.015	0.03951	0	0
ABCC9	1.66466	3.3589	0.91614	1.49951	0.94644	2.33959	0.79597	0.9502	1.06645	3.15207	1.3945	1.53385	1.4247	1.97442	0.98964	0.1007	2.29156	0.83509	1.41003	0.80548	1.12526	1.48276	3.06463	1.33527	1.80542
ABCD1	2.20887	1.72936	2.69365	1.18885	2.86684	4.75731	1.67472	3.4986	1.68192	2.13804	2.88956	3.02161	3.35967	1.12809	3.83457	3.95632	3.08232	1.60169	3.09065	2.74361	3.0435	3.23405	2.28797	2.21621	2.34473
ABCD2	2.09784	0.64464	0.0995	0.44816	1.10649	0.27118	0.14404	0.18894	0.14032	0.25647	0.07943	0.97298	0.06626	1.71099	0.15014	0.18611	0.45809	0.17755	0.64195	0.21918	0.50381	0.12502	1.21068	0.26713	0.18743
ABCD3	3.22628	3.6784	4.98023	4.30934	4.09292	3.38021	4.63723	5.02922	5.26874	3.25003	4.90897	4.26283	4.85045	3.61302	4.08555	4.37479	4.80125	2.98337	3.36025	3.88773	4.72051	4.27453	2.4505	4.15712	4.30514
ABCD4	3.0893	2.5116	3.46715	4.18103	3.5844	3.65	3.85758	3.79419	3.67766	4.15277	3.16828	3.3434	2.85368	3.39325	3.47368	3.55809	2.54999	4.06579	3.71806	3.48604	3.54223	3.32112	3.70145	3.25409	3.90217
ABCE1	4.28209	4.34426	4.88399	4.6726	4.61705	3.84152	5.20647	4.93415	5.27329	4.14658	4.51482	4.82866	5.66105	4.94269	4.72766	3.83119	4.56078	3.48529	3.93939	4.17043	4.68204	5.26578	3.94805	4.84883	5.39212
ABCF1	4.54367	4.01884	5.67648	4.2862	3.83325	4.85737	3.75202	5.36555	4.15954	4.41886	4.44589	4.75961	4.69536	4.70264	4.93191	3.53271	5.20286	4.52571	4.77662	4.76686	5.48913	5.05599	4.81653	5.01843	5.05068
ABCF2	3.8494	5.37427	4.54425	4.08516	4.69092	4.71056	4.12648	3.86638	3.52236	3.99939	4.6875	4.85088	5.35744	4.2989	4.88289	4.66849	5.18365	4.50241	4.52282	5.05466	4.73462	5.80915	4.39999	4.71437	4.48216
ABCF3	4.19363	3.82121	4.34765	3.37405	4.06292	4.64483	3.94229	3.97099	3.88184	4.4398	4.17486	4.37395	4.11611	3.94911	4.13428	4.35861	4.09827	4.61403	4.38914	4.40852	4.06414	4.76787	4.03502	4.35429	4.02357
ABCG1	3.86493	3.17808	0.99443	3.51718	3.48782	2.63643	1.44187	1.0325	2.82136	4.15429	3.8113	2.50464	1.73489	4.09112	2.57701	3.90778	2.57111	5.23594	3.90778	3.56365	2.94962	2.31838	4.91949	2.77168	3.29103
ABCG2	2.20322	1.76301	0.19358	0.68874	1.15815	0.86729	1.29613	0.86598	1.89213	0.9044	1.15461	1.46277	0.91088	1.5644	0.49522	0.48122	1.27666	1.01187	0.94756	1.24138	1.96093	1.50693	2.11042	1.91103	0.56917
ABCG4	0.11033	0.01446	0.05057	0.01637	0	0.20025	0.02878	0.09685	0.11196	0.05081	0.01214	0.0304	0.02175	0	0.12218	0.02857	0.07981	0.0946	0.05882	0.02715	0.00953	0.12509	0.05934	0.30892	0.07546
ABCG5	0	0.12829	0.07571	0.02865	0	0.29033	1.72106	0.41903	0.37613	0.03722	0.43733	0.69431	0.81448	0.04405	0.08277	0.05238	1.76969	0.00758	0.19445	0.0257	0.02396	1.18418	0.01584	0.33056	2.28944
ABCG8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00765	0.01998	0	0	0	0	0.015	0	0	0	0.10182
ABHD1	0.30687	0.28408	0	0.11253	0.43612	1.3686	0.20749	0	0	0.18105	0.40754	0.08976	0.06494	0.11062	0.28483	0.49353	0	0.13322	0.11418	0.29785	0.07001	0.36243	0.26043	0.20838	0.03988
ABHD10	3.41044	3.51916	2.74219	3.59582	3.86092	1.89103	3.46565	3.67643	4.63919	2.27544	2.53454	3.29165	2.89831	3.37328	2.36917	3.64735	3.80111	3.65681	2.94615	3.17846	2.66303	3.85195	2.45257	3.50217	4.27929
ABHD11	2.7849	2.78786	2.70459	2.9599	3.41892	3.69587	2.7599	2.25189	3.03853	2.27937	3.93793	1.75258	2.70331	1.61485	2.78032	3.88737	2.81149	2.84708	4.14468	3.10913	3.04755	2.64313	1.86933	2.88787	2.57912
ABHD12	5.22174	4.95265	4.97011	4.56676	4.54209	5.38366	5.00531	5.51792	3.6965	5.28446	5.98372	5.60066	5.74615	3.678	4.50297	4.58492	5.70985	4.8922	5.42555	5.95882	5.66598	4.69805	4.13148	4.97342	4.44369
ABHD12B	0	2.37989	0.70158	0.88559	0.31505	0	0	0.09029	0.13476	0.05767	0	0.16676	1.55576	0	0.12757	0.2543	0.20957	0.01653	0.21751	3.78678	1.65434	0.13035	0	0.03945	0.24134
ABHD13	2.44005	2.95663	2.66207	2.97194	2.94768	1.44054	3.25101	3.77094	3.83563	2.27477	2.23999	2.86133	3.57886	3.18383	2.15324	1.99298	2.94418	2.0576	2.03108	2.64218	3.50254	1.89875	1.88662	2.35154	2.4918
ABHD14A	4.70176	3.90623	3.92653	4.25148	5.09356	3.96521	2.52529	3.27489	3.33873	3.10758	4.17632	3.75202	2.97061	2.97385	2.80469	4.62635	3.61849	4.02001	3.36313	3.42501	3.25409	4.1637	3.51029	3.77804	3.15738
ABHD14B	4.70471	4.24701	4.87496	4.72408	4.49705	4.87265	5.21144	4.47977	4.62635	4.6837	5.42796	4.28072	4.3981	4.79008	3.94264	4.14709	4.45613	4.36048	4.68204	4.24439	5.13314	4.26052	5.07248	4.75731	5.37006
ABHD15	2.46502	1.90406	1.9472	1.51292	1.57422	2.34688	1.48148	2.69365	1.36476	2.64383	1.8702	3.4948	2.3082	2.83393	2.6052	2.86069	2.19309	2.53856	2.58011	2.19374	3.08867	1.96141	3.57451	2.90988	1.90907
ABHD16A	4.23458	3.46303	3.91722	5.29109	4.40473	4.05346	4.3799	4.8922	3.97385	4.37395	4.16739	4.98861	3.81769	4.07673	3.82643	4.59069	4.94808	4.81897	4.60094	4.87996	5.23947	4.10257	4.58295	4.276	4.34383
ABHD16B	0.32962	0.24027	1.06776	0.75743	0.39	1.3124	0.49446	0.81188	0.29676	0.85947	1.70904	1.11988	0.85743	0.36103	0.11378	0.40959	0.75177	0.47792	0.88271	0.81131	0.66782	1.36987	0.58102	0.64299	0.33286
ABHD17A	2.28261	2.82705	2.64289	4.1603	3.931	4.48452	4.01733	4.09827	3.61631	3.76073	4.54425	3.25783	2.90914	2.44005	2.94328	3.42264	2.85948	3.25752	3.68565	3.64146	2.3987	3.54363	3.14902	3.16611	2.14775
ABHD17B	3.07349	2.68222	3.51139	2.72465	2.28552	1.97875	2.71268	2.71556	2.01317	2.41251	2.13396	2.15286	3.76194	3.42639	3.11549	2.19183	3.78369	1.83164	2.98612	2.85028	2.76621	2.62842	2.95848	2.75931	4.17043
ABHD17C	0.79297	2.47878	2.97141	2.30984	4.6637	2.27083	3.42234	3.55809	2.9524	2.42503	2.51033	3.12529	2.28435	3.28209	2.09394	2.253	3.47683	2.55934	3.95778	2.05794	2.48245	2.62523	2.13367	2.44252	1.527
ABHD2	3.24737	7.15958	3.09111	1.57491	4.62337	4.66648	2.73871	3.47683	3.70043	4.19528	3.39763	3.61669	2.99692	3.56918	3.38121	1.88186	6.46902	2.61843	4.35601	5.30997	4.40255	3.26171	3.81684	3.81684	1.88186
ABHD3	4.38522	2.95732	3.73095	4.09589	3.81879	2.41219	3.82121	3.15207	4.01852	3.41529	2.6953	3.55101	3.38449	4.1845	2.81344	3.88595	2.22591	3.4835	3.44544	2.62842	3.71569	1.53995	3.24711	3.2004	3.43773
ABHD4	4.04183	2.74326	4.39224	3.15042	3.35991	4.43088	2.21953	3.76925	3.35586	4.64736	3.47526	3.46774	3.97585	2.88488	4.46863	4.14468	3.78938	3.5644	4.01532	3.5146	4.3512	3.87823	3.19074	3.42072	4.74164
ABHD5	1.65871	2.2212	2.65202	2.34625	3.00037	2.42532	2.62451	2.49259	2.80432	2.03391	2.11482	1.85628	2.26363	1.61091	2.82461	3.1307	2.78445	1.77695	2.13062	2.02087	1.59632	3.2814	1.95266	1.92031	2.67735
ABHD6	2.30197	2.40227	4.18612	1.89679	4.32738	2.67434	4.1778	4.93128	3.23724	2.34659	2.45257	4.14951	3.07516	2.952	4.93003	3.95174	3.23866	2.19509	2.74219	2.86554	3.0987	3.71491	2.97802	3.96776	4.01619
ABHD8	1.85734	0.88271	1.16627	1.31588	1.93588	2.19336	2.12699	2.48455	2.09784	1.82506	2.43305	1.96761	0.95766	0.87103	1.41815	1.97181	1.32703	2.0084	1.51329	1.53069	1.08024	1.47463	1.22572	1.48585	0.93517
ABI1	4.6985	4.46723	5.10174	4.56361	4.59365	4.60045	4.78657	4.69165	4.65471	4.70264	4.48859	4.5354	3.42739	5.26731	4.39953	4.41039	4.53763	4.45979	4.72408	4.21135	4.4227	4.18763	4.58958	4.76275	5.78348
ABI2	3.03078	4.0311	3.41067	2.82046	3.92461	2.72844	3.44689	3.1015	3.41067	2.86038	3.17879	3.54611	4.70213	3.0779	2.75631	2.08604	3.43158	3.09235	2.65927	3.72561	3.34464	3.66513	2.55359	2.91183	2.22259
ABI3	3.7638	2.31365	0.97987	2.27544	3.11436	3.52452	1.70236	1.39339	1.4653	3.78583	3.39207	2.50931	0.82715	3.72439	2.71694	3.37838	1.98633	3.77283	3.56748	2.99478	2.90815	1.63324	3.69794	2.65259	1.66031
ABI3BP	2.52726	2.14088	1.02709	4.7947	2.96821	0.78374	1.24096	1.13088	1.68056	5.58738	3.38226	4.92876	1.06119	4.7732	1.79767	2.13435	3.74834	3.90744	3.52171	3.64669	2.74086	2.50267	5.54797	1.78027	1.01783
ABL1	2.62451	2.82287	4.31424	2.42394	2.98647	4.08601	3.08999	3.6912	1.77303	4.38655	3.02624	4.01489	4.14562	2.81944	3.93209	3.10366	4.12423	3.24281	3.73834	4.29992	3.17028	3.96247	4.72281	3.18092	3.22519
ABL2	2.08358	2.38953	5.54446	2.11513	1.49487	4.1778	2.91429	3.42298	2.78513	2.59859	2.5622	3.36566	4.7738	1.8356	3.86561	1.94337	3.43433	1.14236	2.19336	2.41662	3.13898	4.42847	3.54895	3.51344	3.11462
ABLIM1	2.97657	3.79235	2.68127	1.21533	1.70633	2.68888	0.6659	0.61819	1.90507	3.61163	1.65434	2.05141	1.73325	4.75429	1.41953	1.35513	1.51862	1.4215	3.54013	1.88186	3.27962	2.8679	5.43664	3.25818	1.17961
ABLIM2	0.85456	0.41014	1.16239	0.54295	0.20718	0.68931	0.28815	0.22259	0.64384	1.02479	0.43086	0.79792	0.39838	1.21504	0.95268	0.11802	0.85975	0.83798	0.65123	0.55263	0.37284	0.37103	0.67852	0.29016	0.40388
ABLIM3	2.19374	4.35343	2.59754	1.57116	2.9456	2.66207	3.25719	3.33371	2.40844	3.53271	3.03532	1.48913	1.38254	2.98337	3.23257	2.02281	2.79749	1.7551	2.20174	1.99401	4.02634	3.10967	3.79133	1.17961	1.27565
ABO	0.40845	0.0995	0	0	0	0.22193	0.05944	0	0.04056	0.32962	0	0	0	0.0804	0.00732	0	0.03627	0.01545	0.12127	0.18174	0.03299	0.20727	0.12314	0.01667	0.03927
ABR	4.2422	3.83424	5.96742	3.42501	3.63294	5.93361	4.19928	5.58392	3.95323	4.73399	5.51354	4.61518	5.12074	3.56632	5.47628	4.22339	5.63157	3.9998	4.54263	5.04668	5.07174	4.03789	4.44866	4.07547	4.2692
ABRA	0	0.05426	0	0.21077	0	0	0.03348	0	0	0	0	0	0	0.00313	0.00146	0	0	0.00417	0.01238	0	0	0.02177	0.06918	0	0
ABRACL	5.3614	5.23481	3.75956	5.9986	5.56952	5.68864	6.13884	6.29245	7.52149	5.89352	5.77563	5.86488	4.49233	6.83794	5.9651	5.83219	5.03173	6.5218	5.8783	5.51354	4.60538	4.17134	5.79931	6.0371	4.82907
ABT1	3.54961	3.44338	4.60142	5.59569	3.27894	4.05608	5.02199	4.85387	5.15636	3.64184	4.29847	3.57815	3.57975	3.97634	3.5279	4.74224	3.78904	4.49544	3.81879	3.92761	3.51397	3.97336	3.94412	3.90217	4.84942
